# Wordlist
@json: {"seeds": ["Nanchang,Yuci,Shanghai", "Fuzhou,Yingshan,Beijing"]}

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO	SEEDID	LOAN
#
1	Guangzhou	all	1	咸巴郎	1	9	all	145	咸巴郎	9	0
2	Suzhou	all	1	通通	2	8	all	145	统统	8	0
3	Meixian	all	1	完兜	3	7	all	145	完兜	7	0
4	Nanchang	all	1	都	4	6	all	145	都	6	0
5	Fuzhou	all	1	全部	5	5	all	145	全部	5	0
6	Ningxia	all	1	全 、都	6	4	all	145	全	4	0
7	Lianchang	all	1	一下	7	3	all	145	一下	3	0
8	Lianchang	all	1	全部[都是副词用法]	5	5	all	145	全部	5	0
9	Ningbo	all	1	全部	5	5	all	145	全部	5	0
10	Ningbo	all	1	合共	9	1	all	145	合共	1	0
11	Yingshan	all	1	下	8	2	all	145	下	2	0
12	Chengdu	all	1	全部	5	5	all	145	全部	5	0
13	Zhanping	all	1	全部	5	5	all	145	全部	5	0
14	Shanghai	all	1	全部	5	5	all	145	全部	5	0
15	Shanghai	all	1	ze+13	10	12	all	145	ze+13	12	0
16	Shanghai_B	all	1	全部	5	5	all	145	全部	5	0
17	Shanghai_B	all	1	ze+13	10	12	all	145	ze+13	12	0
18	Xiamen	all	1	全部	5	5	all	145	全部	5	0
19	Anyi	all	1	一下	7	3	all	145	一下	3	0
20	Anyi	all	1	全部	5	5	all	145	全部	5	0
21	Beijing	all	1	整个儿	11	11	all	145	整个儿	11	0
22	Wenzhou	all	1	统统	2	8	all	145	统统	8	0
23	Taibei	all	1	tsuan13poo33全部；long53攏	5	5	all	145	全部	5	0
24	Wuhan	all	1	全	6	4	all	145	全	4	0
25	Taiyuan	all	1	全部	5	5	all	145	全部	5	0
26	Yuci	all	1	都是	13	10	all	145	都是	2	1
27	Changsha	all	1	下	8	2	all	145	下	2	0
28	Shuangfeng	all	1	下	8	2	all	145	下	2	0
#
2595	Guangzhou	and	101	同[埋]	1	630	and	178	同	630	0
2596	Guangzhou	and	101	同[埋]	1a	622	and	178	同到	622	0
2597	Suzhou	and	101	搭	2	629	and	178	搭	629	0
2598	Meixian	and	101	同	1	630	and	178	同	630	0
2599	Meixian	and	101	搭	2	629	and	178	搭	629	0
2600	Nanchang	and	101	跟	3	628	and	178	和	628	0
2601	Nanchang	and	101	同	1	630	and	178	同	630	0
2602	Fuzhou	and	101	共	5	626	and	178	共	626	0
2603	Ningxia	and	101	连	6	625	and	178	连	625	0
2604	Lianchang	and	101	合	7	624	and	178	合	624	0
2605	Ningbo	and	101	搭	2	629	and	178	搭	629	0
2606	Yingshan	and	101	跟	3	628	and	178	和	628	0
2607	Chengdu	and	101	和	4	627	and	178	和	627	0
2608	Zhanping	and	101	甲*	8	623	and	178	甲*	623	0
2609	Zhanping	and	101	thin1	9	621	and	178	thin1	621	0
2610	Shanghai	and	101	跟	3	628	and	178	和	628	0
2611	Shanghai	and	101	go?[交]	10	634	and	178	go?[交]	634	0
2612	Shanghai	and	101	帮	11	633	and	178	帮	633	0
2613	Shanghai_B	and	101	得之	12b	635	and	178	得之	635	0
2614	Shanghai_B	and	101	得	12	632	and	178	得	632	0
2615	Xiamen	and	101	甲*	8	623	and	178	甲*	623	0
2616	Anyi	and	101	同到	1a	622	and	178	同到	622	0
2617	Beijing	and	101	跟	3	628	and	178	和	628	0
2618	Beijing	and	101	和	4	627	and	178	和	627	0
2619	Wenzhou	and	101	伉	13	631	and	178	伉	631	0
2620	Taibei	and	101	kah32	8	623	and	178	甲*	623	0
2621	Taibei	and	101	kap32合	7	624	and	178	合	624	0
2622	Wuhan	and	101	跟	3	628	and	178	和	628	0
2623	Wuhan	and	101	和	4	627	and	178	和	627	0
2624	Taiyuan	and	101	和	3	628	and	178	和	628	0
2625	Taiyuan	and	101	跟	4	627	and	178	和	627	0
2626	Yuci	and	101	和	3	628	and	178	和	628	0
2627	Yuci	and	101	跟	3	628	and	178	和	628	0
2628	Changsha	and	101	跟	3	628	and	178	和	628	0
2629	Shuangfeng	and	101	跟	3	628	and	178	和	628	0
2630	Shuangfeng	and	101	同	1	630	and	178	同	630	0
#
2631	Suzhou	animal	102	众牲	5	636	animal	185	众牲	636	0
2632	Fuzhou	animal	102	头牲	3	638	animal	185	畜牲	638	0
2633	Ningxia	animal	102	牲畜、畜生	3	638	animal	185	畜牲	638	0
2634	Lianchang	animal	102	动物[大概是从官话借过来的，当地无此概念]	1?	640	animal	185	动物	640	0
2635	Ningbo	animal	102	(畜牲)	3	638	animal	185	畜牲	638	0
2636	Chengdu	animal	102	动物	1	640	animal	185	动物	640	0
2637	Zhanping	animal	102	动物	1	640	animal	185	动物	640	0
2638	Shanghai_B	animal	102	动物	1	640	animal	185	动物	640	0
2639	Xiamen	animal	102	牲牲	4	637	animal	185	牲牲	637	0
2640	Xiamen	animal	102	动物	1	640	animal	185	动物	640	0
2641	Anyi	animal	102	畜牲	3	638	animal	185	畜牲	638	0
2642	Beijing	animal	102	动物	1	640	animal	185	动物	640	0
2643	Wenzhou	animal	102	动物（文）	1	640	animal	185	动物	640	0
2644	Wenzhou	animal	102	健个物事	2	639	animal	185	健个物事	639	0
2645	Taibei	animal	102	tong33 but33	1	640	animal	185	动物	640	0
2646	Wuhan	animal	102	动物	1	640	animal	185	动物	640	0
2647	Taiyuan	animal	102	动物	1	640	animal	185	动物	640	0
2648	Yuci	animal	102	动物	1	640	animal	185	动物	640	0
2649	Changsha	animal	102	动物	1	640	animal	185	动物	640	0
2650	Shuangfeng	animal	102	动物	1	640	animal	185	动物	640	0
#
29	Guangzhou	ash	2	灰	0	17	ashes	260	灰	17	0
30	Suzhou	ash	2	灰	0	17	ashes	260	灰	17	0
31	Meixian	ash	2	灰	0	17	ashes	260	灰	17	0
32	Nanchang	ash	2	灰	0	17	ashes	260	灰	16	1
33	Fuzhou	ash	2	塕尘	2	16	ashes	260	塕尘	16	0
34	Ningxia	ash	2	灰	0	17	ashes	260	灰	17	0
35	Lianchang	ash	2	灰[指灰烬]	0	17	ashes	260	灰	17	0
36	Ningbo	ash	2	灰	0	17	ashes	260	灰	17	0
37	Yingshan	ash	2	灰	0	17	ashes	260	灰	17	0
38	Chengdu	ash	2	灰烬	0a	13	ashes	260	灰烬	13	0
39	Zhanping	ash	2	灰	0	17	ashes	260	灰	17	0
40	Shanghai	ash	2	灰	0	17	ashes	260	灰	17	0
41	Shanghai_B	ash	2	灰	0	17	ashes	260	灰	17	0
42	Xiamen	ash	2	灰	0	17	ashes	260	灰	17	0
43	Anyi	ash	2	灰	0	17	ashes	260	灰	17	0
44	Beijing	ash	2	灰	0	17	ashes	260	灰	17	0
45	Wenzhou	ash	2	灰	0	17	ashes	260	灰	17	0
46	Wenzhou	ash	2	柴土-弗[z«2 vai8]	3	15	ashes	260	柴土-弗[z«2 vai8]	15	0
47	Taibei	ash	2	hu44灰	0	17	ashes	260	灰	17	0
48	Wuhan	ash	2	灰	0	17	ashes	260	灰	17	0
49	Taiyuan	ash	2	土	4	14	ashes	260	土	14	0
50	Yuci	ash	2	灰	0	17	ashes	260	灰	17	0
51	Changsha	ash	2	灰	0	17	ashes	260	灰	17	0
52	Shuangfeng	ash	2	灰	0	17	ashes	260	灰	17	0
#
2651	Guangzhou	back	103	背脊	3	648	back	326	胛脊	648	0
2652	Guangzhou	back	103	背脢	0b	653	back	326	背脢	653	0
2653	Suzhou	back	103	背心	0a	652	back	326	背心	652	0
2654	Suzhou	back	103	背	0	651	back	326	背	651	0
2655	Meixian	back	103	背梁[注]	0c	654	back	326	背梁[注]	654	0
2656	Meixian	back	103	脊背	3	648	back	326	胛脊	648	0
2657	Nanchang	back	103	背脊	3	648	back	326	胛脊	648	0
2658	Fuzhou	back	103	月-聘	5	646	back	326	月-聘	646	0
2659	Ningxia	back	103	脊梁	3	648	back	326	胛脊	648	0
2660	Lianchang	back	103	背脊	4	647	back	326	背脊	647	0
2661	Ningbo	back	103	背脊	4	647	back	326	背脊	647	0
2662	Yingshan	back	103	背瑯*骨	6d	643	back	326	背瑯*骨	643	0
2663	Chengdu	back	103	背	0	651	back	326	背	651	0
2664	Zhanping	back	103	目*脊	7	645	back	326	目*脊	645	0
2665	Zhanping	back	103	胶*脊	8	644	back	326	胶*脊	644	0
2666	Shanghai	back	103	背脊	4	647	back	326	背脊	647	0
2667	Shanghai_B	back	103	背脊	4	647	back	326	背脊	647	0
2668	Xiamen	back	103	胛脊	3	648	back	326	胛脊	648	0
2669	Anyi	back	103	背	0	651	back	326	背	651	0
2670	Beijing	back	103	[后]脊梁	2	649	back	326	[后]脊梁	649	0
2671	Wenzhou	back	103	背脊身	1	650	back	326	背脊身	650	0
2672	Wuhan	back	103	背[心]	0	651	back	326	背	651	0
2673	Wuhan	back	103	背[心]	0a	652	back	326	背心	652	0
2674	Taiyuan	back	103	脊背	e0	642	back	326	脊背	642	0
2675	Yuci	back	103	脊背	e0	642	back	326	脊背	643	1
2676	Changsha	back	103	背[心]	0	651	back	326	背	651	0
2677	Changsha	back	103	背[心]	0a	652	back	326	背心	652	0
2678	Shuangfeng	back	103	背[心]	0	651	back	326	背	651	0
2679	Shuangfeng	back	103	背[心]	0a	652	back	326	背心	652	0
#
2680	Guangzhou	bad	104	衰	3	661	bad	334	衰	661	0
2681	Guangzhou	bad	104	坏	1	663	bad	334	坏	663	0
2682	Guangzhou	bad	104	弊	4	660	bad	334	弊	660	0
2683	Suzhou	bad	104	坏	1	663	bad	334	坏	663	0
2684	Suzhou	bad	104	愀	5	659	bad	334	愀	659	0
2685	Meixian	bad	104	坏	1	663	bad	334	坏	663	0
2686	Meixian	bad	104	歪	6	658	bad	334	歪	658	0
2687	Nanchang	bad	104	坏	1	663	bad	334	坏	663	0
2688	Fuzhou	bad	104	呆*	7	657	bad	334	呆*	657	0
2689	Fuzhou	bad	104	否（指人品）	4	660	bad	334	弊	660	0
2690	Ningxia	bad	104	坏	1	663	bad	334	坏	663	0
2691	Lianchang	bad	104	坏	1	663	bad	334	坏	663	0
2692	Ningbo	bad	104	坏	1	663	bad	334	坏	663	0
2693	Yingshan	bad	104	拐*	2	662	bad	334	拐*	662	0
2694	Chengdu	bad	104	坏	1	663	bad	334	坏	663	0
2695	Zhanping	bad	104	歹：读be3	8	656	bad	334	歹：读be3	656	0
2696	Shanghai	bad	104	坏	1	663	bad	334	坏	663	0
2697	Shanghai_B	bad	104	坏	1	663	bad	334	坏	663	0
2698	Xiamen	bad	104	否phai~51坏	9	655	bad	334	否phai~51坏	655	0
2699	Anyi	bad	104	坏	1	663	bad	334	坏	663	0
2700	Anyi	bad	104	so2	10	667	bad	334	so2	667	0
2701	Beijing	bad	104	坏	1	663	bad	334	坏	663	0
2702	Beijing	bad	104	赖	11	666	bad	334	赖	666	0
2703	Wenzhou	bad	104	毛*	12	665	bad	334	毛*	665	0
2704	Taibei	bad	104	phai53[禾黑]?鄙?	13	664	bad	334	phai53[禾黑]?鄙?	664	0
2705	Wuhan	bad	104	坏	1	663	bad	334	坏	663	0
2706	Wuhan	bad	104	拐*	2	662	bad	334	拐*	662	0
2707	Taiyuan	bad	104	赖	11	666	bad	334	赖	666	0
2708	Taiyuan	bad	104	怀	1	663	bad	334	坏	663	0
2709	Yuci	bad	104	赖	11	666	bad	334	赖	666	0
2710	Yuci	bad	104	怀	1	663	bad	334	坏	663	0
2711	Changsha	bad	104	坏	1	663	bad	334	坏	663	0
2712	Changsha	bad	104	拐*	2	662	bad	334	拐*	662	0
2713	Shuangfeng	bad	104	坏	1	663	bad	334	坏	663	0
2714	Shuangfeng	bad	104	拐*	2	662	bad	334	拐*	662	0
#
53	Guangzhou	bark	3	树皮	0	18	bark	372	树皮	18	0
54	Suzhou	bark	3	树皮	0	18	bark	372	树皮	18	0
55	Meixian	bark	3	树皮	0	18	bark	372	树皮	18	0
56	Nanchang	bark	3	树皮	0	18	bark	372	树皮	18	0
57	Fuzhou	bark	3	树皮	0	18	bark	372	树皮	18	0
58	Ningxia	bark	3	树皮	0	18	bark	372	树皮	18	0
59	Lianchang	bark	3	树皮	0	18	bark	372	树皮	18	0
60	Ningbo	bark	3	树皮	0	18	bark	372	树皮	18	0
61	Yingshan	bark	3	树皮	0	18	bark	372	树皮	18	0
62	Chengdu	bark	3	树皮	0	18	bark	372	树皮	18	0
