# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
#
1	Guangzhou	all	1	咸巴郎	1	9	all	145	咸巴郎
2	Suzhou	all	1	通通	2	8	all	145	统统
3	Meixian	all	1	完兜	3	7	all	145	完兜
4	Nanchang	all	1	都	4	6	all	145	都
5	Fuzhou	all	1	全部	5	5	all	145	全部
6	Ningxia	all	1	全 、都	6	4	all	145	全
7	Lianchang	all	1	一下	7	3	all	145	一下
8	Lianchang	all	1	全部[都是副词用法]	5	5	all	145	全部
9	Ningbo	all	1	全部	5	5	all	145	全部
10	Ningbo	all	1	合共	9	1	all	145	合共
11	Yingshan	all	1	下	8	2	all	145	下
12	Chengdu	all	1	全部	5	5	all	145	全部
13	Zhanping	all	1	全部	5	5	all	145	全部
14	Shanghai	all	1	全部	5	5	all	145	全部
15	Shanghai	all	1	ze+13	10	12	all	145	ze+13
16	Shanghai_B	all	1	全部	5	5	all	145	全部
17	Shanghai_B	all	1	ze+13	10	12	all	145	ze+13
18	Xiamen	all	1	全部	5	5	all	145	全部
19	Anyi	all	1	一下	7	3	all	145	一下
20	Anyi	all	1	全部	5	5	all	145	全部
21	Beijing	all	1	整个儿	11	11	all	145	整个儿
22	Wenzhou	all	1	统统	2	8	all	145	统统
23	Taibei	all	1	tsuan13poo33全部；long53攏	5	5	all	145	全部
24	Wuhan	all	1	全	6	4	all	145	全
25	Taiyuan	all	1	全部	5	5	all	145	全部
26	Yuci	all	1	都是	13	10	all	145	都是
27	Changsha	all	1	下	8	2	all	145	下
28	Shuangfeng	all	1	下	8	2	all	145	下
#
2595	Guangzhou	and	101	同[埋]	1	630	and	178	同
2596	Guangzhou	and	101	同[埋]	1a	622	and	178	同到
2597	Suzhou	and	101	搭	2	629	and	178	搭
2598	Meixian	and	101	同	1	630	and	178	同
2599	Meixian	and	101	搭	2	629	and	178	搭
2600	Nanchang	and	101	跟	3	628	and	178	和
2601	Nanchang	and	101	同	1	630	and	178	同
2602	Fuzhou	and	101	共	5	626	and	178	共
2603	Ningxia	and	101	连	6	625	and	178	连
2604	Lianchang	and	101	合	7	624	and	178	合
2605	Ningbo	and	101	搭	2	629	and	178	搭
2606	Yingshan	and	101	跟	3	628	and	178	和
2607	Chengdu	and	101	和	4	627	and	178	和
2608	Zhanping	and	101	甲*	8	623	and	178	甲*
2609	Zhanping	and	101	thin1	9	621	and	178	thin1
2610	Shanghai	and	101	跟	3	628	and	178	和
2611	Shanghai	and	101	go?[交]	10	634	and	178	go?[交]
2612	Shanghai	and	101	帮	11	633	and	178	帮
2613	Shanghai_B	and	101	得之	12b	635	and	178	得之
2614	Shanghai_B	and	101	得	12	632	and	178	得
2615	Xiamen	and	101	甲*	8	623	and	178	甲*
2616	Anyi	and	101	同到	1a	622	and	178	同到
2617	Beijing	and	101	跟	3	628	and	178	和
2618	Beijing	and	101	和	4	627	and	178	和
2619	Wenzhou	and	101	伉	13	631	and	178	伉
2620	Taibei	and	101	kah32	8	623	and	178	甲*
